Name	gene	Chromosome	orf_classification
YCR047W-A		3	Dubious
YCR049C		3	Dubious
YCR048W	ARE1	3	Verified
YCR050C		3	Uncharacterized
YCR051W		3	Uncharacterized
YCR052W	RSC6	3	Verified
YCR053W	THR4	3	Verified
YCR054C	CTR86	3	Verified
YCR057C	PWP2	3	Verified
YCR059C	YIH1	3	Verified
YCR060W	TAH1	3	Verified
YCR061W	TVS1	3	Verified
YCR064C		3	Dubious
YCR063W	BUD31	3	Verified
YCR065W	HCM1	3	Verified
YCR066W	RAD18	3	Verified
YCR067C	SED4	3	Verified
YCR068W	ATG15	3	Verified
YCR069W	CPR4	3	Verified
YCR071C	IMG2	3	Verified
YCR072C	RSA4	3	Verified
YCR073W-A	SOL2	3	Verified
YCR075C	ERS1	3	Verified
YCR075W-A	EGO2	3	Verified
YCR076C	FUB1	3	Verified
YCR077C	PAT1	3	Verified
YCR079W	PTC6	3	Verified
YCR081W	SRB8	3	Verified
YCR081C-A		3	Dubious
YCR082W	AHC2	3	Verified
YCR083W	TRX3	3	Verified
YCR084C	TUP1	3	Verified
YCR086W	CSM1	3	Verified
YCR087W		3	Dubious
YCR087C-A		3	Uncharacterized
YCR088W	ABP1	3	Verified
YCR089W	FIG2	3	Verified
YCR090C		3	Uncharacterized
YCR091W	KIN82	3	Verified
YCR092C	MSH3	3	Verified
YCR093W	CDC39	3	Verified
YCR094W	CDC50	3	Verified
YCR095C	OCA4	3	Uncharacterized
YCR095W-A		3	Uncharacterized
YCR096C	HMRA2	3	Verified
YCR097W	HMRA1	3	Verified
YCR097W-A		3	Dubious
YCR098C	GIT1	3	Verified
YCR102C		3	Uncharacterized
YHL042W		3	Uncharacterized
YJL222W-B		3	Dubious
YNL337W		3	Dubious
YOR394C-A		3	Uncharacterized
YAL068W-A		2	Dubious
YBL107C	MIX23	2	Verified
YBL106C	SRO77	2	Verified
YBL105C	PKC1	2	Verified
YBL104C	SEA4	2	Verified
YBL103C	RTG3	2	Verified
YBL102W	SFT2	2	Verified
YBL101C	ECM21	2	Verified
YBL100W-C		2	Uncharacterized
YBL100C		2	Dubious
YBL099W	ATP1	2	Verified
YBL098W	BNA4	2	Verified
YBL097W	BRN1	2	Verified
YBL096C		2	Dubious
YBL095W	MRX3	2	Uncharacterized
YBL094C		2	Dubious
YBL093C	ROX3	2	Verified
YBL092W	RPL32	2	Verified
YBL091C-A	SCS22	2	Verified
YBL091C	MAP2	2	Verified
YBL090W	MRP21	2	Verified
YBL089W	AVT5	2	Verified
YBL088C	TEL1	2	Verified
YBL087C	RPL23A	2	Verified
YBL086C		2	Uncharacterized
YBL085W	BOI1	2	Verified
YBL084C	CDC27	2	Verified
YBL083C		2	Dubious
YBL082C	ALG3	2	Verified
YBL081W		2	Uncharacterized
YBL080C	PET112	2	Verified
YBL079W	NUP170	2	Verified
YBL078C	ATG8	2	Verified
YBL077W		2	Dubious
YBL076C	ILS1	2	Verified
YBL075C	SSA3	2	Verified
YBL074C	AAR2	2	Verified
YBL073W		2	Dubious
YBL072C	RPS8A	2	Verified
YBL071C-B		2	Uncharacterized
YBL071W-A	KTI11	2	Verified
YBL070C		2	Dubious
YBL069W	AST1	2	Verified
YBL068W-A		2	Dubious
YBL068W	PRS4	2	Verified
YBL067C	UBP13	2	Verified
YBL066C	SEF1	2	Verified
YBL065W		2	Dubious
YBL064C	PRX1	2	Verified
YBL063W	KIP1	2	Verified
YBL062W		2	Dubious
YBL061C	SKT5	2	Verified
YBL060W	YEL1	2	Verified
YBL059C-A	CMC2	2	Verified
YBL059W	IAI11	2	Uncharacterized
YBL058W	SHP1	2	Verified
YBL057C	PTH2	2	Verified
YBL056W	PTC3	2	Verified
YBL055C		2	Verified
YBL054W	TOD6	2	Verified
YBL053W		2	Dubious
YBL052C	SAS3	2	Verified
YBL051C	PIN4	2	Verified
YBL050W	SEC17	2	Verified
YBL049W	MOH1	2	Verified
YBL048W	RRT1	2	Uncharacterized
YBL047C	EDE1	2	Verified
YBL046W	PSY4	2	Verified
YBL045C	COR1	2	Verified
YBL043W	ECM13	2	Verified
YBL042C	FUI1	2	Verified
YBL041W	PRE7	2	Verified
YBL040C	ERD2	2	Verified
YBL039W-B	MIN6	2	Uncharacterized
YBL039C	URA7	2	Verified
YBL039C-A		2	Dubious
YBL038W	MRPL16	2	Verified
YBL037W	APL3	2	Verified
YBL036C		2	Verified
YBL035C	POL12	2	Verified
YBL034C	STU1	2	Verified
YBL033C	RIB1	2	Verified
YBL032W	HEK2	2	Verified
YBL031W	SHE1	2	Verified
YBL030C	PET9	2	Verified
YBL029C-A		2	Verified
YBL029W		2	Uncharacterized
YBL028C		2	Verified
YBL027W	RPL19B	2	Verified
YBL026W	LSM2	2	Verified
YBL025W	RRN10	2	Verified
YBL024W	NCL1	2	Verified
YBL023C	MCM2	2	Verified
YBL022C	PIM1	2	Verified
YBL021C	HAP3	2	Verified
YBL020W	RFT1	2	Verified
YBL019W	APN2	2	Verified
YBL018C	POP8	2	Verified
YBL017C	PEP1	2	Verified
YBL016W	FUS3	2	Verified
YBL015W	ACH1	2	Verified
YBL014C	RRN6	2	Verified
YBL013W	FMT1	2	Verified
YBL012C		2	Dubious
YBL011W	SCT1	2	Verified
YBL010C	LAA2	2	Verified
YBL009W	ALK2	2	Verified
YBL008W-A		2	Uncharacterized
YBL008W	HIR1	2	Verified
YBL007C	SLA1	2	Verified
YBL006C	LDB7	2	Verified
YBL006W-A		2	Dubious
YBL005W	PDR3	2	Verified
YBL004W	UTP20	2	Verified
YBL003C	HTA2	2	Verified
YBL002W	HTB2	2	Verified
YBL001C	ECM15	2	Verified
YBR001C	NTH2	2	Verified
YBR002C	RER2	2	Verified
YBR003W	COQ1	2	Verified
YBR004C	GPI18	2	Verified
YBR005W	RCR1	2	Verified
YBR006W	UGA2	2	Verified
YBR007C	DSF2	2	Verified
YBR008C	FLR1	2	Verified
YBR009C	HHF1	2	Verified
YBR010W	HHT1	2	Verified
YBR011C	IPP1	2	Verified
YBR012C		2	Dubious
YBR014C	GRX7	2	Verified
YBR015C	MNN2	2	Verified
YBR016W		2	Verified
YBR017C	KAP104	2	Verified
YBR018C	GAL7	2	Verified
YBR019C	GAL10	2	Verified
YBR020W	GAL1	2	Verified
YBR021W	FUR4	2	Verified
YBR022W	POA1	2	Verified
YBR023C	CHS3	2	Verified
YBR024W	SCO2	2	Verified
YBR025C	OLA1	2	Verified
YBR026C	ETR1	2	Verified
YBR027C		2	Uncharacterized
YBR028C	YPK3	2	Verified
YBR029C	CDS1	2	Verified
YBR030W	RKM3	2	Verified
YBR032W		2	Uncharacterized
YBR033W	EDS1	2	Uncharacterized
YBR034C	HMT1	2	Verified
YBR035C	PDX3	2	Verified
YBR036C	CSG2	2	Verified
YBR037C	SCO1	2	Verified
YBR038W	CHS2	2	Verified
YBR039W	ATP3	2	Verified
YBR040W	FIG1	2	Verified
YBR041W	FAT1	2	Verified
YBR042C	CST26	2	Verified
YBR043C	QDR3	2	Verified
YBR044C	TCM62	2	Verified
YBR045C	GIP1	2	Verified
YBR046C	ZTA1	2	Verified
YBR047W	FMP23	2	Uncharacterized
YBR048W	RPS11B	2	Verified
YBR049C	REB1	2	Verified
YBR050C	REG2	2	Verified
YBR051W		2	Dubious
YBR052C	RFS1	2	Verified
YBR053C		2	Uncharacterized
YBR054W	YRO2	2	Verified
YBR055C	PRP6	2	Verified
YBR056W	MRX18	2	Verified
YBR056W-A	MNC1	2	Uncharacterized
YBR056C-B		2	Dubious
YBR057C	MUM2	2	Verified
YBR058C	UBP14	2	Verified
YBR058C-A	TSC3	2	Verified
YBR059C	AKL1	2	Verified
YBR060C	ORC2	2	Verified
YBR061C	TRM7	2	Verified
YBR062C		2	Uncharacterized
YBR063C		2	Uncharacterized
YBR064W		2	Dubious
YBR065C	ECM2	2	Verified
YBR066C	NRG2	2	Verified
YBR067C	TIP1	2	Verified
YBR068C	BAP2	2	Verified
YBR069C	TAT1	2	Verified
YBR070C	ALG14	2	Verified
YBR071W		2	Verified
YBR072W	HSP26	2	Verified
YBR074W	PFF1	2	Verified
YBR076W	ECM8	2	Verified
YBR076C-A		2	Dubious
YBR077C	SLM4	2	Verified
YBR078W	ECM33	2	Verified
YBR079C	RPG1	2	Verified
YBR080C	SEC18	2	Verified
YBR081C	SPT7	2	Verified
YBR082C	UBC4	2	Verified
YBR083W	TEC1	2	Verified
YBR084W	MIS1	2	Verified
YBR084C-A	RPL19A	2	Verified
YBR085W	AAC3	2	Verified
YBR085C-A		2	Verified
YBR086C	IST2	2	Verified
YBR087W	RFC5	2	Verified
YBR088C	POL30	2	Verified
YBR089W		2	Dubious
YBR089C-A	NHP6B	2	Verified
YBR091C	TIM12	2	Verified
YBR092C	PHO3	2	Verified
YBR093C	PHO5	2	Verified
YBR094W	PBY1	2	Verified
YBR095C	RXT2	2	Verified
YBR096W		2	Uncharacterized
YBR097W	VPS15	2	Verified
YBR098W	MMS4	2	Verified
YBR099C		2	Dubious
YBR101C	FES1	2	Verified
YBR102C	EXO84	2	Verified
YBR103W	SIF2	2	Verified
YBR103C-A		2	Dubious
YBR104W	YMC2	2	Verified
YBR105C	VID24	2	Verified
YBR106W	SND3	2	Verified
YBR107C	IML3	2	Verified
YBR108W	AIM3	2	Verified
YBR109C	CMD1	2	Verified
YBR109W-A		2	Dubious
YBR110W	ALG1	2	Verified
YBR111C	YSA1	2	Verified
YBR111W-A	SUS1	2	Verified
YBR112C	CYC8	2	Verified
YBR113W		2	Dubious
YBR114W	RAD16	2	Verified
YBR115C	LYS2	2	Verified
YBR116C		2	Dubious
YBR117C	TKL2	2	Verified
YBR118W	TEF2	2	Verified
YPR080W	TEF1	2	Verified
YBR119W	MUD1	2	Verified
YBR120C	CBP6	2	Verified
YBR121C	GRS1	2	Verified
YBR121C-A		2	Dubious
YBR122C	MRPL36	2	Verified
YBR123C	TFC1	2	Verified
YBR124W		2	Dubious
YBR125C	PTC4	2	Verified
YBR126C	TPS1	2	Verified
YBR126W-A	MEO1	2	Verified
YBR126W-B		2	Dubious
YBR127C	VMA2	2	Verified
YBR128C	ATG14	2	Verified
YBR129C	OPY1	2	Verified
YBR130C	SHE3	2	Verified
YBR131W	CCZ1	2	Verified
YBR131C-A		2	Dubious
YBR132C	AGP2	2	Verified
YBR133C	HSL7	2	Verified
YBR134W		2	Dubious
YBR135W	CKS1	2	Verified
YBR136W	MEC1	2	Verified
YBR137W		2	Verified
YBR138C		2	Uncharacterized
YBR139W	ATG42	2	Verified
YBR140C	IRA1	2	Verified
YBR141C	BMT2	2	Verified
YBR141W-A		2	Dubious
YBR142W	MAK5	2	Verified
YBR143C	SUP45	2	Verified
YBR144C		2	Uncharacterized
YBR145W	ADH5	2	Verified
YBR146W	MRPS9	2	Verified
YBR147W	RTC2	2	Verified
YBR148W	YSW1	2	Verified
YBR149W	ARA1	2	Verified
YBR150C	TBS1	2	Verified
YBR151W	APD1	2	Verified
YBR152W	SPP381	2	Verified
YBR153W	RIB7	2	Verified
YBR154C	RPB5	2	Verified
YBR155W	CNS1	2	Verified
YBR156C	SLI15	2	Verified
YBR157C	ICS2	2	Verified
YBR158W	AMN1	2	Verified
YBR159W	IFA38	2	Verified
YBR160W	CDC28	2	Verified
YBR161W	CSH1	2	Verified
YBR162C	TOS1	2	Verified
YBR162W-A	YSY6	2	Verified
YBR163W	EXO5	2	Verified
YBR164C	ARL1	2	Verified
YBR165W	UBS1	2	Verified
YBR166C	TYR1	2	Verified
YBR167C	POP7	2	Verified
YBR168W	PEX32	2	Verified
YBR169C	SSE2	2	Verified
YBR170C	NPL4	2	Verified
YBR171W	SEC66	2	Verified
YBR172C	SMY2	2	Verified
YBR173C	UMP1	2	Verified
YBR174C		2	Dubious
YBR175W	SWD3	2	Verified
YBR176W	ECM31	2	Verified
YBR177C	EHT1	2	Verified
YBR179C	FZO1	2	Verified
YBR180W	DTR1	2	Verified
YBR181C	RPS6B	2	Verified
YBR182C	SMP1	2	Verified
YBR183W	YPC1	2	Verified
YBR184W		2	Uncharacterized
YBR185C	MBA1	2	Verified
YBR186W	PCH2	2	Verified
YBR187W	GDT1	2	Verified
YBR188C	NTC20	2	Verified
YBR189W	RPS9B	2	Verified
YBR190W		2	Dubious
YBR191W	RPL21A	2	Verified
YBR191W-A		2	Dubious
YBR192W	RIM2	2	Verified
YBR193C	MED8	2	Verified
YBR194W	AIM4	2	Verified
YBR195C	MSI1	2	Verified
YBR196C	PGI1	2	Verified
YBR196C-A		2	Uncharacterized
YBR196C-B		2	Uncharacterized
YBR197C		2	Verified
YBR198C	TAF5	2	Verified
YBR199W	KTR4	2	Verified
YBR200W	BEM1	2	Verified
YBR200W-A		2	Uncharacterized
YBR201W	DER1	2	Verified
YBR201C-A	MIN7	2	Uncharacterized
YBR202W	MCM7	2	Verified
YBR203W	COS111	2	Verified
YBR204C	LDH1	2	Verified
YBR205W	KTR3	2	Verified
YBR206W		2	Dubious
YBR207W	FTH1	2	Verified
YBR208C	DUR1%2C2	2	Verified
YBR209W		2	Uncharacterized
YBR210W	ERV15	2	Verified
YBR211C	AME1	2	Verified
YBR212W	NGR1	2	Verified
YBR213W	MET8	2	Verified
YBR214W	SDS24	2	Verified
YBR215W	HPC2	2	Verified
YBR216C	YBP1	2	Verified
YBR217W	ATG12	2	Verified
YBR218C	PYC2	2	Verified
YBR220C		2	Uncharacterized
YBR221C	PDB1	2	Verified
YBR221W-A		2	Uncharacterized
YBR222C	PCS60	2	Verified
YBR223C	TDP1	2	Verified
YBR223W-A		2	Dubious
YBR224W		2	Dubious
YBR225W		2	Uncharacterized
YBR226C		2	Dubious
YBR227C	MCX1	2	Verified
YBR228W	SLX1	2	Verified
YBR229C	ROT2	2	Verified
YBR230C	OM14	2	Verified
YBR230W-A	COQ21	2	Verified
YBR231C	SWC5	2	Verified
YBR232C		2	Dubious
YBR233W	PBP2	2	Verified
YBR233W-A	DAD3	2	Verified
YBR234C	ARC40	2	Verified
YBR235W	VHC1	2	Verified
YBR236C	ABD1	2	Verified
YBR237W	PRP5	2	Verified
YBR238C		2	Verified
YBR239C	ERT1	2	Verified
YBR240C	THI2	2	Verified
YBR241C	VVS1	2	Verified
YBR242W		2	Verified
YBR243C	ALG7	2	Verified
YBR244W	GPX2	2	Verified
YBR245C	ISW1	2	Verified
YBR246W	RRT2	2	Verified
YBR247C	ENP1	2	Verified
YBR248C	HIS7	2	Verified
YBR249C	ARO4	2	Verified
YBR250W	SPO23	2	Verified
YBR251W	MRPS5	2	Verified
YBR252W	DUT1	2	Verified
YBR253W	SRB6	2	Verified
YBR254C	TRS20	2	Verified
YBR255W	MTC4	2	Verified
YBR255C-A	RCF3	2	Uncharacterized
YBR256C	RIB5	2	Verified
YBR257W	POP4	2	Verified
YBR258C	SHG1	2	Verified
YBR259W		2	Verified
YBR260C	RGD1	2	Verified
YBR261C	TAE1	2	Verified
YBR262C	MIC12	2	Verified
YBR263W	SHM1	2	Verified
YBR264C	YPT10	2	Verified
YBR265W	TSC10	2	Verified
YBR267W	REI1	2	Verified
YBR266C	SLM6	2	Verified
YBR268W	MRPL37	2	Verified
YBR269C	SDH8	2	Verified
YBR270C	BIT2	2	Verified
YBR271W	EFM2	2	Verified
YBR272C	HSM3	2	Verified
YBR273C	UBX7	2	Verified
YBR274W	CHK1	2	Verified
YBR275C	RIF1	2	Verified
YBR276C	PPS1	2	Verified
YBR277C		2	Dubious
YBR278W	DPB3	2	Verified
YBR279W	PAF1	2	Verified
YBR280C	SAF1	2	Verified
YBR281C	DUG2	2	Verified
YBR282W	MRPL27	2	Verified
YBR283C	SSH1	2	Verified
YBR284W		2	Uncharacterized
YBR285W		2	Uncharacterized
YBR286W	APE3	2	Verified
YBR287W		2	Uncharacterized
YBR288C	APM3	2	Verified
YBR289W	SNF5	2	Verified
YBR290W	BSD2	2	Verified
YBR291C	CTP1	2	Verified
YBR293W	VBA2	2	Verified
YBR294W	SUL1	2	Verified
YBR296C	PHO89	2	Verified
YBR296C-A	TYC1	2	Verified
YBR297W	MAL33	2	Verified
YGR293C		2	Dubious
YBR301W	PAU24	2	Verified
YGR294W	PAU12	2	Verified
YGR295C	COS6	2	Verified
YNL337W		2	Dubious
YDL247W-A		4	Dubious
YJR160C	MPH3	4	Verified
YDL246C	SOR2	4	Verified
YJR159W	SOR1	4	Verified
YDL245C	HXT15	4	Verified
YJR158W	HXT16	4	Verified
YJR157W		4	Dubious
YFL058W	THI5	4	Verified
YDL243C	AAD4	4	Verified
YDL241W		4	Uncharacterized
YDL240C-A		4	Dubious
YDL240W	LRG1	4	Verified
YDL239C	ADY3	4	Verified
YDL238C	GUD1	4	Verified
YDL237W	AIM6	4	Verified
YDL236W	PHO13	4	Verified
YDL235C	YPD1	4	Verified
YDL234C	GYP7	4	Verified
YDL233W	MFG1	4	Uncharacterized
YDL232W	OST4	4	Verified
YDL231C	BRE4	4	Verified
YDL230W	PTP1	4	Verified
YDL229W	SSB1	4	Verified
YDL228C		4	Dubious
YDL226C	GCS1	4	Verified
YDL225W	SHS1	4	Verified
YDL224C	WHI4	4	Verified
YDL223C	HBT1	4	Verified
YDL222C	FMP45	4	Verified
YDL221W		4	Dubious
YDL220C	CDC13	4	Verified
YDL219W	DTD1	4	Verified
YDL218W		4	Uncharacterized
YDL217C	TIM22	4	Verified
YDL216C	RRI1	4	Verified
YDL215C	GDH2	4	Verified
YDL214C	PRR2	4	Verified
YDL213C	NOP6	4	Verified
YDL212W	SHR3	4	Verified
YDL211C		4	Uncharacterized
YDL210W	UGA4	4	Verified
YDL209C	CWC2	4	Verified
YDL208W	NHP2	4	Verified
YDL207W	GLE1	4	Verified
YDL206W		4	Uncharacterized
YDL205C	HEM3	4	Verified
YDL204W	RTN2	4	Verified
YDL203C	ACK1	4	Verified
YDL202W	MRPL11	4	Verified
YDL201W	TRM8	4	Verified
YDL200C	MGT1	4	Verified
YDL199C		4	Uncharacterized
YDL198C	GGC1	4	Verified
YDL197C	ASF2	4	Verified
YDL195W	SEC31	4	Verified
YDL194W	SNF3	4	Verified
YDL193W	NUS1	4	Verified
YDL192W	ARF1	4	Verified
YDL191W	RPL35A	4	Verified
YDL190C	UFD2	4	Verified
YDL189W	RBS1	4	Verified
YDL188C	PPH22	4	Verified
YDL187C		4	Dubious
YDL186W		4	Uncharacterized
YDL185C-A		4	Dubious
YDL185W	VMA1	4	Verified
YDL184C	RPL41A	4	Verified
YDL183C	MRX19	4	Verified
YDL182W	LYS20	4	Verified
YDL181W	INH1	4	Verified
YDL180W		4	Uncharacterized
YDL179W	PCL9	4	Verified
YDL178W	DLD2	4	Verified
YDL177C		4	Uncharacterized
YDL176W	IPF1	4	Verified
YDL175C	AIR2	4	Verified
YDL174C	DLD1	4	Verified
YDL173W	PAR32	4	Verified
YDL172C		4	Dubious
YDL171C	GLT1	4	Verified
YDL170W	UGA3	4	Verified
YDL169C	UGX2	4	Verified
YDL168W	SFA1	4	Verified
YDL167C	NRP1	4	Verified
YDL166C	FAP7	4	Verified
YDL165W	CDC36	4	Verified
YDL164C	CDC9	4	Verified
YDL163W		4	Dubious
YDL162C		4	Dubious
YDL161W	ENT1	4	Verified
YDL160C-A	MHF2	4	Verified
YDL160C	DHH1	4	Verified
YDL159W-A		4	Uncharacterized
YDL159W	STE7	4	Verified
YDL159C-B		4	Dubious
YDL158C		4	Dubious
YDL157C		4	Uncharacterized
YDL156W	CMR1	4	Verified
YDL155W	CLB3	4	Verified
YDL154W	MSH5	4	Verified
YDL153C	SAS10	4	Verified
YDL152W		4	Dubious
YDL151C	BUD30	4	Dubious
YDL150W	RPC53	4	Verified
YDL149W	ATG9	4	Verified
YDL148C	NOP14	4	Verified
YDL147W	RPN5	4	Verified
YDL146W	LDB17	4	Verified
YDL145C	COP1	4	Verified
YDL144C		4	Verified
YDL143W	CCT4	4	Verified
YDL142C	CRD1	4	Verified
YDL141W	BPL1	4	Verified
YDL140C	RPO21	4	Verified
YDL139C	SCM3	4	Verified
YDL138W	RGT2	4	Verified
YDL137W	ARF2	4	Verified
YDL136W	RPL35B	4	Verified
YDL135C	RDI1	4	Verified
YDL134C	PPH21	4	Verified
YDL133C-A	RPL41B	4	Verified
YDL133W	SRF1	4	Verified
YDL132W	CDC53	4	Verified
YDL131W	LYS21	4	Verified
YDL130W-A	STF1	4	Verified
YDL130W	RPP1B	4	Verified
YDL129W		4	Verified
YDL128W	VCX1	4	Verified
YDL127W	PCL2	4	Verified
YDL126C	CDC48	4	Verified
YDL125C	HNT1	4	Verified
YDL124W		4	Verified
YDL123W	SNA4	4	Verified
YDL122W	UBP1	4	Verified
YDL121C	EXP1	4	Verified
YDL120W	YFH1	4	Verified
YDL119C	HEM25	4	Verified
YDL118W		4	Dubious
YDL117W	CYK3	4	Verified
YDL116W	NUP84	4	Verified
YDL115C	IWR1	4	Verified
YDL114W-A		4	Dubious
YDL114W		4	Uncharacterized
YDL113C	ATG20	4	Verified
YDL112W	TRM3	4	Verified
YDL111C	RRP42	4	Verified
YDL110C	TMA17	4	Verified
YDL109C		4	Uncharacterized
YDL108W	KIN28	4	Verified
YDL107W	MSS2	4	Verified
YDL106C	PHO2	4	Verified
YDL105W	NSE4	4	Verified
YDL104C	QRI7	4	Verified
YDL103C	QRI1	4	Verified
YDL102W	POL3	4	Verified
YDL101C	DUN1	4	Verified
YDL100C	GET3	4	Verified
YDL099W	BUG1	4	Verified
YDL098C	SNU23	4	Verified
YDL097C	RPN6	4	Verified
YDL096C	OPI6	4	Dubious
YDL095W	PMT1	4	Verified
YDL093W	PMT5	4	Verified
YDL092W	SRP14	4	Verified
YDL091C	UBX3	4	Verified
YDL090C	RAM1	4	Verified
YDL089W	NUR1	4	Verified
YDL088C	ASM4	4	Verified
YDL087C	LUC7	4	Verified
YDL086W		4	Uncharacterized
YDL086C-A		4	Dubious
YDL085C-A		4	Uncharacterized
YDL085W	NDE2	4	Verified
YDL084W	SUB2	4	Verified
YDL083C	RPS16B	4	Verified
YDL082W	RPL13A	4	Verified
YDL081C	RPP1A	4	Verified
YDL080C	THI3	4	Verified
YDL079C	MRK1	4	Verified
YDL078C	MDH3	4	Verified
YDL077C	VAM6	4	Verified
YDL076C	RXT3	4	Verified
YDL075W	RPL31A	4	Verified
YDL074C	BRE1	4	Verified
YDL073W	AHK1	4	Verified
YDL072C	YET3	4	Verified
YDL070W	BDF2	4	Verified
YDL069C	CBS1	4	Verified
YDL068W		4	Dubious
YDL067C	COX9	4	Verified
YDL066W	IDP1	4	Verified
YDL065C	PEX19	4	Verified
YDL064W	UBC9	4	Verified
YDL063C	SYO1	4	Verified
YDL061C	RPS29B	4	Verified
YDL060W	TSR1	4	Verified
YDL059C	RAD59	4	Verified
YDL058W	USO1	4	Verified
YDL057W		4	Uncharacterized
YDL056W	MBP1	4	Verified
YDL055C	PSA1	4	Verified
YDL054C	MCH1	4	Verified
YDL053C	PBP4	4	Verified
YDL052C	SLC1	4	Verified
YDL051W	LHP1	4	Verified
YDL050C		4	Dubious
YDL049C	KNH1	4	Verified
YDL048C	STP4	4	Verified
YDL047W	SIT4	4	Verified
YDL046W	NPC2	4	Verified
YDL045W-A	MRP10	4	Verified
YDL045C	FAD1	4	Verified
YDL044C	MTF2	4	Verified
YDL043C	PRP11	4	Verified
YDL042C	SIR2	4	Verified
YDL041W		4	Dubious
YDL040C	NAT1	4	Verified
YDL039C	PRM7	4	Verified
YDL037C	BSC1	4	Verified
YDL036C	PUS9	4	Verified
YDL035C	GPR1	4	Verified
YDL034W		4	Dubious
YDL033C	SLM3	4	Verified
YDL032W		4	Dubious
YDL031W	DBP10	4	Verified
YDL030W	PRP9	4	Verified
YDL029W	ARP2	4	Verified
