Name	gene	Chromosome
YDL033C	SLM3	4
YDL031W	DBP10	4
YDL030W	PRP9	4
YDL029W	ARP2	4
YDL028C	MPS1	4
YDL025C	RTK1	4
YDL024C	DIA3	4
YDL022W	GPD1	4
YDL021W	GPM2	4
YDL020C	RPN4	4
YDL019C	OSH2	4
YDL018C	ERP3	4
YDL017W	CDC7	4
YDL015C	TSC13	4
YDL014W	NOP1	4
YDL013W	SLX5	4
YDL012C		4
YDL010W	GRX6	4
YDL008W	APC11	4
YDL007W	RPT2	4
YDL006W	PTC1	4
YDL005C	MED2	4
YDL004W	ATP16	4
YDL003W	MCD1	4
YDL002C	NHP10	4
YDL001W	RMD1	4
YDR001C	NTH1	4
YDR002W	YRB1	4
YDR003W	RCR2	4
YDR004W	RAD57	4
YDR005C	MAF1	4
YDR006C	SOK1	4
YDR007W	TRP1	4
YDR009W	GAL3	4
YDR011W	SNQ2	4
YDR012W	RPL4B	4
YDR013W	PSF1	4
YDR014W	RAD61	4
YDR014W-A	HED1	4
YDR016C	DAD1	4
YDR017C	KCS1	4
YDR019C	GCV1	4
YDR021W	FAL1	4
YDR022C	ATG31	4
YDR023W	SES1	4
YDR025W	RPS11A	4
YDR026C	NSI1	4
YDR027C	VPS54	4
YDR028C	REG1	4
YDR030C	RAD28	4
YDR031W	MIX14	4
YDR032C	PST2	4
YDR033W	MRH1	4
YDR034C	LYS14	4
YDR035W	ARO3	4
YDR036C	EHD3	4
YDR037W	KRS1	4
YDR039C	ENA2	4
YDR040C	ENA1	4
YDR041W	RSM10	4
YDR043C	NRG1	4
YDR044W	HEM13	4
YDR045C	RPC11	4
YDR046C	BAP3	4
YDR047W	HEM12	4
YDR049W	VMS1	4
YDR050C	TPI1	4
YDR051C	DET1	4
YDR052C	DBF4	4
YDR054C	CDC34	4
YDR055W	PST1	4
YDR057W	YOS9	4
YDR058C	TGL2	4
YDR059C	UBC5	4
YDR060W	MAK21	4
YDR062W	LCB2	4
YDR063W	AIM7	4
YDR064W	RPS13	4
YDR065W	RRG1	4
YDR066C	RTR2	4
YDR068W	DOS2	4
YDR069C	DOA4	4
YDR070C	FMP16	4
YDR071C	PAA1	4
YDR072C	IPT1	4
YDR073W	SNF11	4
YDR074W	TPS2	4
YDR075W	PPH3	4
YDR076W	RAD55	4
YDR077W	SED1	4
YDR078C	SHU2	4
YDR079W	PET100	4
YDR079C-A	TFB5	4
YDR080W	VPS41	4
YDR081C	PDC2	4
YDR082W	STN1	4
YDR083W	RRP8	4
YDR084C	TVP23	4
YDR085C	AFR1	4
YDR086C	SSS1	4
YDR087C	RRP1	4
YDR088C	SLU7	4
YDR089W	VTC5	4
YDR090C	ILT1	4
YDR091C	RLI1	4
YDR092W	UBC13	4
YDR093W	DNF2	4
YDR096W	GIS1	4
YDR097C	MSH6	4
YDR098C	GRX3	4
YDR099W	BMH2	4
YDR100W	TVP15	4
YDR101C	ARX1	4
YDR103W	STE5	4
YDR104C	SPO71	4
YDR105C	TMS1	4
YDR106W	ARP10	4
YDR107C	TMN2	4
YDR108W	TRS85	4
YDR109C		4
YDR110W	FOB1	4
YDR113C	PDS1	4
YDR115W	MRX14	4
YDR116C	MRPL1	4
YDR117C	TMA64	4
YDR118W	APC4	4
YDR119W-A	COX26	4
YDR120C	TRM1	4
YDR121W	DPB4	4
YDR122W	KIN1	4
YDR123C	INO2	4
YDR125C	ECM18	4
YDR126W	SWF1	4
YDR127W	ARO1	4
YDR128W	MTC5	4
YDR129C	SAC6	4
YDR130C	FIN1	4
YDR131C		4
YDR132C	MRX16	4
YDR135C	YCF1	4
YDR137W	RGP1	4
YDR138W	HPR1	4
YDR139C	RUB1	4
YDR140W	MTQ2	4
YDR141C	DOP1	4
YDR142C	PEX7	4
YDR143C	SAN1	4
YDR144C	MKC7	4
YDR145W	TAF12	4
YDR146C	SWI5	4
YDR147W	EKI1	4
YDR148C	KGD2	4
YDR150W	NUM1	4
YDR151C	CTH1	4
YDR152W	GIR2	4
YDR153C	ENT5	4
YDR155C	CPR1	4
YDR156W	RPA14	4
YDR158W	HOM2	4
YDR159W	SAC3	4
YDR160W	SSY1	4
YDR161W	ACL4	4
YDR162C	NBP2	4
YDR163W	CWC15	4
YDR164C	SEC1	4
YDR165W	TRM82	4
YDR166C	SEC5	4
YDR167W	TAF10	4
YDR168W	CDC37	4
YDR169C	STB3	4
YDR170C	SEC7	4
YDR171W	HSP42	4
YDR172W	SUP35	4
YDR173C	ARG82	4
YDR174W	HMO1	4
YDR175C	RSM24	4
YDR176W	NGG1	4
YDR177W	UBC1	4
YDR178W	SDH4	4
YDR179C	CSN9	4
YDR179W-A	NVJ3	4
YDR180W	SCC2	4
YDR181C	SAS4	4
YDR182W	CDC1	4
YDR183W	PLP1	4
YDR184C	ATC1	4
YDR185C	UPS3	4
YDR186C	SND1	4
YDR188W	CCT6	4
YDR189W	SLY1	4
YDR190C	RVB1	4
YDR191W	HST4	4
YDR192C	NUP42	4
YDR194C	MSS116	4
YDR195W	REF2	4
YDR196C	CAB5	4
YDR197W	CBS2	4
YDR198C	RKM2	4
YDR200C	VPS64	4
YDR201W	SPC19	4
YDR202C	RAV2	4
YDR204W	COQ4	4
YDR205W	MSC2	4
YDR206W	EBS1	4
YDR207C	UME6	4
YDR208W	MSS4	4
YDR211W	GCD6	4
YDR212W	TCP1	4
YDR213W	UPC2	4
YDR214W	AHA1	4
YDR216W	ADR1	4
YDR217C	RAD9	4
YDR218C	SPR28	4
YDR219C	MFB1	4
YDR221W	GTB1	4
YDR223W	CRF1	4
YDR224C	HTB1	4
YDR225W	HTA1	4
YDR226W	ADK1	4
YDR227W	SIR4	4
YDR228C	PCF11	4
YDR229W	IVY1	4
YDR231C	COX20	4
YDR232W	HEM1	4
YDR233C	RTN1	4
YDR234W	LYS4	4
YDR235W	PRP42	4
YDR236C	FMN1	4
YDR237W	MRPL7	4
YDR238C	SEC26	4
YDR239C		4
YDR240C	SNU56	4
YDR242W	AMD2	4
YDR243C	PRP28	4
YDR244W	PEX5	4
YDR245W	MNN10	4
YDR246W	TRS23	4
YDR247W	VHS1	4
YDR251W	PAM1	4
YDR252W	BTT1	4
YDR253C	MET32	4
YDR254W	CHL4	4
YDR255C	RMD5	4
YDR256C	CTA1	4
YDR257C	RKM4	4
YDR258C	HSP78	4
YDR259C	YAP6	4
YDR260C	SWM1	4
YDR261C	EXG2	4
YDR263C	DIN7	4
YDR264C	AKR1	4
YDR265W	PEX10	4
YDR266C	HEL2	4
YDR267C	CIA1	4
YDR268W	MSW1	4
YDR270W	CCC2	4
YDR272W	GLO2	4
YDR273W	DON1	4
YDR275W	BSC2	4
YDR276C	PMP3	4
YDR277C	MTH1	4
YDR279W	RNH202	4
YDR280W	RRP45	4
YDR281C	PHM6	4
YDR282C	MRX10	4
YDR283C	GCN2	4
YDR284C	DPP1	4
YDR285W	ZIP1	4
YDR287W	INM2	4
YDR288W	NSE3	4
YDR289C	RTT103	4
YDR291W	HRQ1	4
YDR292C	SRP101	4
YDR293C	SSD1	4
YDR294C	DPL1	4
YDR295C	HDA2	4
YDR296W	MHR1	4
YDR297W	SUR2	4
YDR298C	ATP5	4
YDR299W	BFR2	4
YDR300C	PRO1	4
YDR301W	CFT1	4
YDR302W	GPI11	4
YDR303C	RSC3	4
YDR304C	CPR5	4
YDR305C	HNT2	4
YDR306C	PFU1	4
YDR308C	SRB7	4
YDR309C	GIC2	4
YDR310C	SUM1	4
YDR311W	TFB1	4
YDR312W	SSF2	4
YDR313C	PIB1	4
YDR314C	RAD34	4
YDR315C	IPK1	4
YDR316W	OMS1	4
YDR317W	HIM1	4
YDR318W	MCM21	4
YDR320C	SWA2	4
YDR320C-A	DAD4	4
YDR321W	ASP1	4
YDR322W	MRPL35	4
YDR322C-A	TIM11	4
YDR323C	PEP7	4
YDR324C	UTP4	4
YDR325W	YCG1	4
YDR326C	YSP2	4
YDR328C	SKP1	4
YDR329C	PEX3	4
YDR330W	UBX5	4
YDR331W	GPI8	4
YDR332W	IRC3	4
YDR333C	RQC1	4
YDR334W	SWR1	4
YDR335W	MSN5	4
YDR337W	MRPS28	4
YDR339C	FCF1	4
YDR341C		4
YDR342C	HXT7	4
YDR343C	HXT6	4
YDR345C	HXT3	4
YDR346C	SVF1	4
YDR347W	MRP1	4
YDR348C	PAL1	4
YDR349C	YPS7	4
YDR350C	ATP22	4
YDR351W	SBE2	4
YDR352W	YPQ2	4
YDR353W	TRR1	4
YDR354W	TRP4	4
YDR356W	SPC110	4
YDR357C	CNL1	4
YDR358W	GGA1	4
YDR359C	EAF1	4
YDR361C	BCP1	4
YDR362C	TFC6	4
YDR363W	ESC2	4
YDR363W-A	SEM1	4
YDR364C	CDC40	4
YDR365C	ESF1	4
YDR367W	KEI1	4
YDR368W	YPR1	4
YDR369C	XRS2	4
YDR370C	DXO1	4
YDR372C	VPS74	4
YDR373W	FRQ1	4
YDR374C	PHO92	4
YDR374W-A	WIP1	4
YDR375C	BCS1	4
YDR376W	ARH1	4
YDR377W	ATP17	4
YDR378C	LSM6	4
YDR379W	RGA2	4
YDR379C-A	SDH6	4
YDR380W	ARO10	4
YDR381W	YRA1	4
YDR381C-A	COI1	4
YDR382W	RPP2B	4
YDR383C	NKP1	4
YDR384C	ATO3	4
YDR386W	MUS81	4
YDR388W	RVS167	4
YDR389W	SAC7	4
YDR390C	UBA2	4
YDR392W	SPT3	4
YDR393W	SHE9	4
YDR394W	RPT3	4
YDR395W	SXM1	4
YDR397C	NCB2	4
YDR398W	UTP5	4
YDR399W	HPT1	4
YDR400W	URH1	4
YDR402C	DIT2	4
YDR403W	DIT1	4
YDR404C	RPB7	4
YDR405W	MRP20	4
YDR406W	PDR15	4
YDR407C	TRS120	4
YDR408C	ADE8	4
YDR409W	SIZ1	4
YDR410C	STE14	4
YDR411C	DFM1	4
YDR412W	RRP17	4
YDR414C	ERD1	4
YDR416W	SYF1	4
YDR418W	RPL12B	4
YDR419W	RAD30	4
YDR420W	HKR1	4
YDR421W	ARO80	4
YDR422C	SIP1	4
YDR423C	CAD1	4
YDR424C	DYN2	4
YDR425W	SNX41	4
YDR427W	RPN9	4
YDR428C	BNA7	4
YDR429C	TIF35	4
YDR430C	CYM1	4
YDR432W	NPL3	4
YDR434W	GPI17	4
YDR435C	PPM1	4
YDR436W	PPZ2	4
YDR437W	GPI19	4
YDR438W	THI74	4
YDR439W	LRS4	4
YDR440W	DOT1	4
YDR441C	APT2	4
YDR443C	SSN2	4
YDR446W	ECM11	4
YDR447C	RPS17B	4
YDR448W	ADA2	4
YDR449C	UTP6	4
YDR450W	RPS18A	4
YDR451C	YHP1	4
YDR452W	PPN1	4
